Company,Symbol,Sector,SecurityId,1Y Return %,6M Return %,1M Return %,1W Return %,1D Return %,PDH,PDL,PDC,Trend
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Capital Goods,509,-4.72897698897468,12.227350891483383,4.1229322361239324,-2.3622047244094486,-2.935420743639922,2596.0,2543.0,2555.0,MIXED
Minda Corporation Ltd.,MINDACORP,Automobile and Auto Components,25897,42.838528615816365,31.75850591715977,1.6548969256009571,-1.0278491561914147,1.3873079112122937,707.75,691.1,702.8,MIXED
Motherson Sumi Wiring India Ltd.,MSUMI,Automobile and Auto Components,8596,-11.477382098171326,-12.923076923076927,-9.406550110810146,-2.5430463576158964,-2.517223105458407,37.98,37.53,37.74,BEARISH
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services,14947,21.649364283214762,45.35191637630663,22.41328716473972,5.343434343434353,0.4430318790330479,1053.0,1027.15,1038.3,BULLISH
MphasiS Ltd.,MPHASIS,Information Technology,4503,-12.934002869440455,7.621369984482381,3.633181061349951,0.016481252575199463,-1.1242362525458212,2482.0,2425.1,2455.0,MIXED
Multi Commodity Exchange of India Ltd.,MCX,Financial Services,31181,130.04059539918808,35.93475131936671,26.29076591635095,4.039167686658507,2.0408163265306123,3339.0,3245.0,3332.0,BULLISH
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services,23650,12.900902267040703,-14.222759872116136,-4.53583792793948,-7.195387971330636,-3.652539631187321,3107.0,3062.2,3091.0,MIXED
NATCO Pharma Ltd.,NATCOPHARM,Healthcare,3918,-2.3781902552204177,-12.0,-8.233369683751363,-4.813076183473781,-1.4406184118060383,861.0,844.85,853.8,BEARISH
NBCC (India) Ltd.,NBCC,Construction,31415,-12.273559943008348,-3.536257833482539,-9.071729957805902,-2.6868367577331176,-1.4857142857142824,89.28,87.15,87.5,BEARISH
NCC Ltd.,NCC,Construction,2319,-27.447432762836183,-0.669478476266988,5.167280975333139,0.6922293858160912,-0.020215633423181358,150.79,146.53,148.4,MIXED
NHPC Ltd.,NHPC,Power,17400,-0.660365143079121,4.8947224500957045,-2.553029340784968,0.09132420091323311,2.5394279604383936,76.39,74.82,74.82,MIXED
