Company,Symbol,Sector,SecurityId,1Y Return %,6M Return %,1M Return %,1W Return %,1D Return %,PDH,PDL,PDC,Trend
Belrise Industries Ltd.,BELRISE,Automobile and Auto Components,757102,66.45651239432581,23.782631859350037,-1.8544333206606627,1.3699825479930257,1.0745203810849606,232.2,226.2,229.87,MIXED
Berger Paints India Ltd.,BERGEPAINT,Consumer Durables,404,-6.613508442776736,11.253911488600812,-4.361610145066778,-3.443258971871969,0.6877718215838934,501.85,493.0,494.35,MIXED
Bharat Dynamics Ltd.,BDL,Capital Goods,2144,-11.193146200459708,0.5520504731861199,1.747665788843675,-6.798245614035088,-2.3736600306278715,1348.4,1301.0,1306.0,MIXED
Bharat Electronics Ltd.,BEL,Capital Goods,383,12.195452084461293,-8.701398832470536,6.85832151605001,1.3325183374083103,0.6190823015295002,411.9,407.25,411.9,MIXED
Bharat Forge Ltd.,BHARATFORG,Automobile and Auto Components,422,90.19607843137256,12.004469749374774,-4.314028548049826,3.130818226359632,3.297835795259363,2048.1,2005.4,2037.7,MIXED
Bharat Heavy Electricals Ltd.,BHEL,Capital Goods,438,112.80226912167683,68.85370970818234,8.759213759213754,7.596013612056393,2.738772194499235,436.65,427.0,430.85,BULLISH
Bharat Petroleum Corporation Ltd.,BPCL,Oil Gas & Consumable Fuels,526,5.142764438676192,-13.540554962646745,1.3448006254886666,3.8954793202949776,1.503523884103371,319.9,316.0,319.25,MIXED
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication,10604,-4.0713680643794925,-3.272474909246207,-8.118661257606487,-6.3617571059431475,-3.7452188695282613,1894.3,1867.6,1882.4,BEARISH
Bharti Hexacom Ltd.,BHARTIHEXA,Telecommunication,23489,-12.880496054114996,-3.1216699053469537,-3.8569206842923793,-3.7551376261053657,-0.29675504806140957,1576.2,1522.0,1550.1,BEARISH
Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods,11966,-20.827533847905848,-0.8635031292085766,-2.4857788513987273,3.7731155153827016,1.115061409179071,624.2,612.0,618.8,MIXED
Biocon Ltd.,BIOCON,Healthcare,11373,18.271853021386526,6.199252480989821,-3.2182287996241463,0.6350757205666886,0.2189248358063676,418.65,410.0,411.1,MIXED
Birlasoft Ltd.,BSOFT,Information Technology,6994,-20.877478945938606,-24.27197087883516,-3.687169312169305,-2.591973244147157,-3.20704553007643,303.95,289.9,300.9,BEARISH
Blue Dart Express Ltd.,BLUEDART,Services,495,-12.189032545697726,-11.07900677200903,-4.579191132298513,-2.5625803898288315,-1.3127567892574405,5032.5,4975.0,4989.5,BEARISH
Blue Jet Healthcare Ltd.,BLUEJET,Healthcare,19686,-13.341319158493677,50.46145846873782,-7.584830339321358,-1.7068614130434707,0.19042672898814555,590.25,575.0,577.65,MIXED
Blue Star Ltd.,BLUESTARCO,Consumer Durables,8311,-22.208641122389334,-23.059132720105126,-12.931239590768504,-2.6728723404255352,-1.0945945945945976,1494.0,1472.9,1480.0,BEARISH
Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods,380,-14.301191765980494,-8.593845031018121,0.38741567029591756,5.6743074110533005,-3.8574718526100273,1598.9,1552.0,1563.2,MIXED
Bosch Ltd.,BOSCHLTD,Automobile and Auto Components,2181,25.125125125125123,41.36273678258411,21.69891687963977,3.9501039501039505,2.7960526315789473,48930.0,48020.0,48640.0,BULLISH
Brainbees Solutions Ltd.,FIRSTCRY,Consumer Services,24814,-49.63832136940917,-14.960372960372961,-14.06294167530387,-5.862620632708889,-1.6551649773560457,189.5,184.97,185.48,BEARISH
Brigade Enterprises Ltd.,BRIGADE,Realty,15184,-5.269163549174529,28.863346104725423,13.038607376766628,0.26754318911481423,2.11755546905411,657.75,640.4,642.25,MIXED
Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,547,-9.85576923076923,-11.897969457962745,-3.0739407366380505,-1.1485595932969308,-1.1020062164453235,5355.0,5276.5,5308.5,BEARISH
C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology,7227,-38.331406316558144,0.3366336633663344,-14.23856471882538,5.375896849329306,4.91769334299617,1011.0,961.6,965.9,MIXED
CCL Products (I) Ltd.,CCL,Fast Moving Consumer Goods,11452,23.901319563970162,6.175024582104224,-6.535099108456678,-0.18487705675725644,-3.855400231502089,1126.9,1101.7,1123.1,MIXED
CESC Ltd.,CESC,Power,628,-3.962152572442343,-4.775555410775954,-11.723138249682911,-5.867199072583251,-1.3165890216730922,152.29,147.83,148.11,BEARISH
CG Power and Industrial Solutions Ltd.,CGPOWER,Capital Goods,760,31.931441739881905,28.678794689892527,6.092193652999771,4.387464387464387,3.0371203599550056,896.45,878.2,889.0,BULLISH
CIE Automotive India Ltd.,CIEINDIA,Automobile and Auto Components,14937,1.663850253477196,-16.272347714377474,-4.295154185022029,-2.0783773632152274,0.2820874471086095,397.45,389.0,389.95,MIXED
CRISIL Ltd.,CRISIL,Financial Services,757,-3.293221018852784,11.698480355819123,10.59681636772329,7.6727256486981465,1.8826462695712884,4795.5,4690.7,4732.7,MIXED
Can Fin Homes Ltd.,CANFINHOME,Financial Services,583,10.820037622796624,-3.1775018261504777,-3.083109919571054,-1.8269349463029338,-2.477007970570208,819.25,804.4,815.5,MIXED
Canara Bank,CANBK,Financial Services,10794,22.219011846287206,-17.36129200312581,1.5362457993278937,-0.3142183817753272,-1.1297234125438167,129.06,127.25,128.35,MIXED
Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare,3906,19.95616125035739,50.48120031083746,0.02383979656706568,0.8533311966668076,0.00794533608772735,2597.9,2510.0,2517.2,BULLISH
Capri Global Capital Ltd.,CGCL,Financial Services,20329,38.357790246007745,61.82483594144371,10.362337550563726,9.44861727552065,-0.5891929606946424,263.56,244.1,257.98,BULLISH
Carborundum Universal Ltd.,CARBORUNIV,Capital Goods,595,21.3909609477841,37.13365140343266,4.0233126527542735,-1.3901265371591638,-0.9133237822349611,1125.0,1087.0,1116.8,MIXED
Cartrade Tech Ltd.,CARTRADE,Consumer Services,5407,24.74979149291076,68.4877499295973,9.997793793204886,-4.686803033199513,-0.7662708153652196,3079.0,3001.0,3014.6,MIXED
Castrol India Ltd.,CASTROLIND,Oil Gas & Consumable Fuels,1250,-6.459463570450734,-0.7157464212678851,-0.3887479077803568,-1.2736126719109517,-0.4048801554739797,186.95,185.06,185.24,BEARISH
Ceat Ltd.,CEATLTD,Automobile and Auto Components,15254,9.178851925164421,-1.1533125216788094,-0.29738476340418885,-4.099946717518726,-2.614267407090992,3548.6,3494.5,3511.5,MIXED
Cemindia Projects Ltd.,CEMPRO,Construction,5622,73.0828978957774,115.39543057996484,-10.396256762684606,-2.8381163786269368,-3.351470704203139,1285.0,1252.9,1268.1,MIXED
Central Bank of India,CENTRALBK,Financial Services,14894,-12.45654692931635,-21.992772328342806,-2.4216984178237007,-3.1720602371034987,-1.0478061558611667,30.77,30.37,30.54,BEARISH
Central Depository Services (India) Ltd.,CDSL,Financial Services,21174,-1.5374894692502168,14.18220304485875,5.213803450862716,1.2562269872211458,-0.8623736481232802,1417.3,1397.0,1414.7,MIXED
Chalet Hotels Ltd.,CHALET,Consumer Services,8546,-10.52657626447589,15.226258763543665,11.406211486319949,3.9560692312115573,0.3051486906347093,925.1,894.75,901.2,MIXED
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals,637,-24.1714497315312,-8.613187548811775,-6.687172476646154,-4.965773291565142,-2.8466374095599574,426.95,421.1,421.55,BEARISH
Chennai Petroleum Corporation Ltd.,CHENNPETRO,Oil Gas & Consumable Fuels,2049,111.86860861481253,45.824890689986134,8.472156116135189,-3.1654981941788702,1.9610767280590697,1376.0,1333.2,1341.1,MIXED
Choice International Ltd.,CHOICEIN,Financial Services,8866,-1.9221105527638134,10.074021854071209,-5.133969256941491,-2.124992164483161,-0.7248219735503474,792.9,774.3,786.4,MIXED
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Financial Services,21740,-13.91898939560758,-7.150446902931439,-3.1742927910311596,-4.062257814518218,-0.8873765679210005,1527.6,1491.7,1498.8,BEARISH
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Financial Services,685,30.738368409938765,9.021541351176852,0.40542732039569707,0.5794119239724939,-0.2952386064737774,1878.0,1845.0,1862.9,BULLISH
Cipla Ltd.,CIPLA,Healthcare,694,-11.33761167736253,4.261615862681277,-4.344284550638067,-1.9959663398011018,-1.004566210045659,1423.9,1409.1,1423.5,MIXED
City Union Bank Ltd.,CUB,Financial Services,5701,55.86915125136018,10.182202778712565,10.987893462469732,8.006597549481626,3.127249820014394,230.92,221.77,222.24,BULLISH
Clean Science and Technology Ltd.,CLEAN,Chemicals,5049,-29.940400170285226,10.85887504210172,12.097268578434722,-0.6519770600664023,-1.6259190627054843,844.4,822.6,836.45,MIXED
Coal India Ltd.,COALINDIA,Oil Gas & Consumable Fuels,20374,7.190501600853786,-5.747800586510264,-2.994084268984662,-1.2656672401081293,0.18703241895261846,406.35,397.5,401.0,MIXED
Cochin Shipyard Ltd.,COCHINSHIP,Capital Goods,21508,-6.106205695808982,4.216992200980047,6.113843991567112,-0.26420079260237783,-1.6286644951140066,1543.9,1528.0,1535.0,MIXED
Coforge Ltd.,COFORGE,Information Technology,11543,15.136577161746798,70.74911843123762,15.357350377687387,5.995728777362517,-1.4543830040702848,2016.5,1911.0,2014.6,BULLISH
Cohance Lifesciences Ltd.,COHANCE,Healthcare,17945,-48.222802634567344,50.379287598944586,7.269732972591454,1.6044568245125321,1.3447432762836211,454.75,447.25,449.9,MIXED
Colgate Palmolive (India) Ltd.,COLPAL,Fast Moving Consumer Goods,15141,-18.620807959516263,-14.325703192017706,-8.597851741245604,0.9898882384246891,3.8699436203404574,1851.9,1825.0,1826.9,MIXED
Computer Age Management Services Ltd.,CAMS,Financial Services,342,5.527366943754728,20.067557193305703,-1.7773032719964803,3.9893617021276597,2.6246719160104988,762.0,739.0,762.0,MIXED
Concord Biotech Ltd.,CONCORDBIO,Healthcare,18060,-14.00963310935364,20.418019818469464,1.7806869369369336,-6.0608029102247745,-2.3631085004388632,1519.7,1475.4,1481.1,MIXED
Container Corporation of India Ltd.,CONCOR,Services,4749,-2.929743054897136,6.868475991649264,-2.5880114176974356,-0.8714175058094501,-0.794573643410857,520.0,502.35,516.0,MIXED
Coromandel International Ltd.,COROMANDEL,Chemicals,739,-17.4613485773678,-12.565372969997252,-8.08738425925925,-1.0744316412332513,-0.40758739614359374,1943.0,1895.2,1913.7,BEARISH
Craftsman Automation Ltd.,CRAFTSMAN,Automobile and Auto Components,2854,62.00361663652802,46.051516139550046,13.419759963538766,5.661178468651224,0.7240510883252383,11199.5,10858.0,11118.0,BULLISH
CreditAccess Grameen Ltd.,CREDITACC,Financial Services,4421,-2.6001857275519744,12.60219671318853,-14.396032144650928,-5.463495805310958,-2.0262987712869185,1422.8,1367.4,1391.7,MIXED
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables,17094,-28.515151515151516,-6.924442690866043,-9.33897002305918,-4.105691056910567,1.2446351931330497,240.0,230.7,233.0,BEARISH
Cummins India Ltd.,CUMMINSIND,Capital Goods,1901,33.42219434425802,5.9832253778442075,-7.50135894183729,-1.6377649325626205,-1.6945888696321971,5215.0,5126.0,5193.0,MIXED
Cyient Ltd.,CYIENT,Information Technology,5748,0.5821917808219139,30.605892162312394,38.58676418544295,29.233815521698475,6.081538669917369,1114.5,1039.2,1107.45,BULLISH
DCM Shriram Ltd.,DCMSHRIRAM,Diversified,811,-18.08073483200386,0.35534498075214915,-1.6636038301576597,-5.458434071043337,-0.5477844077081003,1038.0,1015.1,1022.3,MIXED
DLF Ltd.,DLF,Realty,14732,-6.494824436776944,17.087427990511674,4.8157136356742,0.29753265602321544,1.654898499558694,682.95,672.5,679.8,MIXED
DOMS Industries Ltd.,DOMS,Fast Moving Consumer Goods,20551,-8.191799975325898,-1.1993273145689463,-1.2168141592920354,1.3989190171231405,1.5280367456455457,2214.4,2186.1,2198.9,MIXED
Dabur India Ltd.,DABUR,Fast Moving Consumer Goods,772,-26.885434657455388,-24.940898345153666,-9.597817060149481,-4.379470447985943,-1.2953367875647668,387.7,383.1,386.0,BEARISH
Dalmia Bharat Ltd.,DALBHARAT,Construction Materials,8075,-22.706641682281905,-5.271752998213828,3.13941212424293,0.17269293038316488,0.5906898607272579,1876.2,1832.3,1845.3,MIXED
Data Patterns (India) Ltd.,DATAPATTNS,Capital Goods,7358,88.17629432328948,41.107262116530904,5.617846297594021,-4.53317005194037,-2.233610102058471,4688.9,4608.5,4624.8,MIXED
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,Chemicals,827,1.3834846519671455,43.666717720937356,-9.389489953632147,-4.681254657543521,-2.0399637958643706,1464.9,1430.0,1436.3,MIXED
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,19943,-2.153364282118687,13.163852771848115,5.246059439297319,1.1038548228630953,-0.7657836519371489,1787.9,1752.8,1762.9,MIXED
Delhivery Ltd.,DELHIVERY,Services,9599,-2.5317807926503626,6.61369478850199,-5.3428778918974995,2.5744800449690812,-2.9774564015312635,471.05,460.0,470.2,MIXED
Devyani International Ltd.,DEVYANI,Consumer Services,5373,-20.347836069337614,13.235414116687078,21.536170958136278,-6.940718884120168,-0.8360726025439386,146.79,139.16,139.94,MIXED
Divi's Laboratories Ltd.,DIVISLAB,Healthcare,10940,54.399412867976835,47.84102443975951,17.514895729890764,11.428907721280602,2.467799545405347,9270.0,9080.5,9239.0,BULLISH
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,21690,-11.024565608148592,46.29100581223525,5.701473414477898,1.9217570350034316,1.3651877133105803,14920.0,14650.0,14650.0,MIXED
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare,11654,16.93311976789869,37.60580411124545,1.5431450766323673,2.69667692961036,0.18124385065506707,1946.8,1916.1,1931.1,BULLISH
Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare,881,-8.388223156892296,-10.815822002472189,0.548732688790191,-2.991596638655454,-2.003395585738532,1186.6,1172.5,1178.0,MIXED
E.I.D. Parry (India) Ltd.,EIDPARRY,Fast Moving Consumer Goods,916,-28.992716290637766,-8.167719701321083,5.177290967699497,-2.9795497299593503,-0.7326462188004442,818.2,800.0,805.3,MIXED
EIH Ltd.,EIHOTEL,Consumer Services,919,-29.24812030075188,-9.678451447768357,-13.669724770642198,-5.837224816544363,-5.204835460040296,302.15,296.35,297.8,BEARISH
Eicher Motors Ltd.,EICHERMOT,Automobile and Auto Components,910,30.321153531050303,1.6291847687196523,1.5318823003765878,-1.1619236982726482,-1.3090954212681476,8140.0,8003.0,8059.0,MIXED
Elecon Engineering Co. Ltd.,ELECON,Capital Goods,13643,-25.43001991671192,1.4408866995073948,-1.7181720558405893,-6.0882453540075225,-3.1510875955320343,428.65,420.05,425.25,MIXED
Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods,937,32.95538836494649,20.62103441645837,10.12902659527781,0.8682369965431267,-0.23853065118867775,631.0,596.0,628.85,BULLISH
Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods,13517,-36.541143654114364,-20.645301940265966,-8.554201733450574,-10.25641025641026,-4.059040590405898,388.55,378.3,379.4,BEARISH
Emcure Pharmaceuticals Ltd.,EMCURE,Healthcare,24398,33.14913162049661,28.367812910814365,-5.346665986429262,0.09171342252913496,-0.7542527014015264,1893.0,1850.0,1869.4,MIXED
Endurance Technologies Ltd.,ENDURANCE,Automobile and Auto Components,18822,0.08365867261571514,8.179797294751513,4.093100822970657,-3.9154005755973498,-1.9800628157858804,2985.0,2913.6,2929.2,MIXED
Engineers India Ltd.,ENGINERSIN,Construction,4907,32.03085610567712,23.25034122464348,17.757891896753307,2.76262606443511,3.212202427873248,254.59,246.76,253.72,BULLISH
Eris Lifesciences Ltd.,ERIS,Healthcare,21154,-27.94133985112765,-4.645692443399003,-4.244482173174872,-2.1424260712130256,-1.3386066321873982,1325.1,1295.0,1314.8,BEARISH
Escorts Kubota Ltd.,ESCORTS,Capital Goods,958,-16.054711586972367,-11.844351562959913,-2.948801036941024,-3.302876699060478,-0.6798209252196983,3056.2,2974.0,3015.5,BEARISH
Eternal Ltd.,ETERNAL,Consumer Services,5097,4.507087115782779,35.09284802569276,8.480740618284026,0.29038667278008423,0.030487804878055715,330.0,324.3,328.0,BULLISH
Exide Industries Ltd.,EXIDEIND,Automobile and Auto Components,676,11.10410094637224,36.38475836431226,-2.1231658514895533,-2.878888153540704,-0.9784075573549309,457.9,437.75,444.6,MIXED
FSN E-Commerce Ventures Ltd.,NYKAA,Consumer Services,6545,51.87920921138388,34.909301428020065,4.844031193761259,5.828035119588253,4.141218531208114,339.95,334.5,335.65,BULLISH
Federal Bank Ltd.,FEDERALBNK,Financial Services,1023,86.06228157112304,20.93575182234277,-0.5991361293019462,-0.2935010482180325,3.6165577342047897,345.85,342.25,344.25,MIXED
Fertilisers and Chemicals Travancore Ltd.,FACT,Chemicals,1008,-11.206616931560166,15.546957439324657,-0.6532389765922673,4.717883328020402,-1.3513513513513513,850.0,829.6,832.5,MIXED
Finolex Cables Ltd.,FINCABLES,Capital Goods,1038,52.045108198719916,31.771356120238792,26.28088294856218,-3.441467946732721,-3.9101625703058787,1308.15,1283.1,1297.9,MIXED
Firstsource Solutions Ltd.,FSL,Services,14304,-24.558404558404558,25.849531866356166,-12.352707533430422,-2.8256880733944914,-1.6709988860007425,272.85,268.0,269.3,MIXED
Five-Star Business Finance Ltd.,FIVESTAR,Financial Services,12032,-1.8346940647647008,31.204021579205477,-2.354229400492762,7.009999999999991,-0.5205912429116051,539.7,530.85,537.85,MIXED
Force Motors Ltd.,FORCEMOT,Automobile and Auto Components,11573,-10.016943061046362,-25.038494439692045,-2.1003239861467993,-0.42045454545454547,0.8981001727115717,17469.0,17280.0,17370.0,BEARISH
Fortis Healthcare Ltd.,FORTIS,Healthcare,14592,-0.50466264399342,-2.7453083109919594,-4.031746031746034,-1.209150326797388,-2.141893714594014,941.9,916.05,926.75,BEARISH
GAIL (India) Ltd.,GAIL,Oil Gas & Consumable Fuels,4717,2.5596579418732346,7.530138729024055,-2.171516754850087,2.158273381294964,3.7405026300409148,172.44,170.11,171.1,MIXED
GE Vernova T&D India Ltd.,GVT&D,Capital Goods,16783,59.94530800230282,17.834800127239948,2.8196053940277017,6.397951123770321,2.4428466076696167,4416.4,4331.0,4339.2,BULLISH
GMR Airports Ltd.,GMRAIRPORT,Services,13528,8.783548274660163,-2.9640377241164884,-11.048831464943957,-5.251973284760168,-4.760451632590791,99.35,98.11,98.31,MIXED
Gabriel India Ltd.,GABRIEL,Automobile and Auto Components,1085,24.77438389448108,50.79439987415449,-0.27049521431542956,5.81352564574288,5.140391927464185,1375.0,1316.1,1367.6,MIXED
Gallantt Ispat Ltd.,GALLANTT,Capital Goods,13337,-1.3392468910340107,-0.1759788825340959,-7.704197852261636,-2.2404136148211977,-1.8343860863545942,585.85,574.75,577.85,BEARISH
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Capital Goods,5475,9.091295658459845,8.216982325895314,-1.372443487621091,-1.1786911135934637,-1.8140763136744646,2650.0,2607.1,2612.9,MIXED
General Insurance Corporation of India,GICRE,Financial Services,277,-2.4474082221916618,-4.752315747080142,-0.5187885586090921,-0.6163328197226471,0.4104160769883919,355.9,351.9,353.3,BEARISH
Gillette India Ltd.,GILLETTE,Fast Moving Consumer Goods,1576,-27.399702823179794,-10.216832047041528,-3.869359916054565,-1.0463781813272126,0.17769272826681246,7442.5,7300.0,7316.0,BEARISH
Gland Pharma Ltd.,GLAND,Healthcare,1186,54.197168047021115,60.78671718297305,15.298254025330618,3.0054254711593473,-0.07617728531855326,2900.0,2852.1,2888.0,BULLISH
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare,1153,9.518850987432671,20.43354655294954,14.864050613843482,4.038612409182389,-1.8123873293845023,3120.7,3052.7,3106.4,BULLISH
Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare,7406,28.90482873330214,16.79932181038948,11.016607726397776,3.7353076504789473,-1.3916500994035785,2537.6,2431.7,2515.0,BULLISH
Global Health Ltd.,MEDANTA,Healthcare,11956,7.692867540029115,30.94690265486726,5.271770062606726,5.279260049804344,0.5094416519494634,1531.4,1462.1,1472.2,BULLISH
Go Digit General Insurance Ltd.,GODIGIT,Financial Services,23799,-28.030197120089472,-22.458201536375967,1.2190326386157946,-1.1520737327188941,-1.886792452830206,265.1,256.2,262.35,MIXED
Godawari Power & Ispat Ltd.,GPIL,Capital Goods,13409,4.858421550907992,-4.927818962153735,0.5239273927392665,-0.6523423166306612,1.5926620804669556,247.0,239.0,239.85,MIXED
Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods,1181,-42.61410109602487,3.0300063635028676,-1.3405831067779088,0.20471316353250094,-0.8899562085040089,2140.0,2105.9,2123.7,MIXED
Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods,10099,-27.46660228553034,-23.35884353741497,-15.79783258594919,-2.9712563246851142,-1.4972677595628465,927.8,911.6,915.0,BEARISH
Godrej Industries Ltd.,GODREJIND,Diversified,10925,-7.779222890586899,17.94978426989655,-13.896478445658767,-4.221190375685943,-2.8265524625267666,1175.7,1146.1,1167.5,MIXED
Godrej Properties Ltd.,GODREJPROP,Realty,17875,3.4399548185038764,16.221517161811366,-4.32160326732202,-1.2353546742487398,-0.7096742398107468,2083.3,2024.5,2029.1,MIXED
Granules India Ltd.,GRANULES,Healthcare,11872,68.30878618588116,44.2374651810585,0.46686473049172655,-3.1334034841576006,-0.974122990497816,844.75,833.5,836.65,MIXED
Graphite India Ltd.,GRAPHITE,Capital Goods,592,37.53915426781518,-0.6856092733955362,7.030773918342471,-2.253913043478267,0.941091954022982,705.6,683.0,696.0,MIXED
Grasim Industries Ltd.,GRASIM,Construction Materials,1232,21.451217754719703,21.376876822813514,8.713880288957682,2.524330900243309,2.462006079027356,3292.5,3229.0,3290.0,BULLISH
Gravita India Ltd.,GRAVITA,Metals & Mining,20534,11.144039019571524,15.308736869075071,11.370947785201679,-0.420400486779506,-1.4021250958483902,1835.0,1809.0,1825.8,MIXED
Great Eastern Shipping Co. Ltd.,GESHIP,Services,13776,40.37849787027551,-1.8546441495778148,-3.5989336492891093,-2.340585146286575,-2.8217378321887097,1363.0,1321.2,1339.6,MIXED
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,13750,37.47400486218916,41.50687409551374,7.481450948062649,1.5337688746592746,-1.6285211267605595,4789.0,4642.3,4771.2,BULLISH
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Metals & Mining,5204,39.4205769468862,2.103545199020747,-0.2126716880815322,-1.3663834632565592,-0.8103584955518406,574.35,565.6,567.65,MIXED
H.E.G. Ltd.,HEG,Capital Goods,1336,57.74891774891774,27.356924421144598,10.886268543172301,0.8370805949498381,-1.159557876178215,743.55,712.2,737.35,BULLISH
HBL Engineering Ltd.,HBLENGINE,Capital Goods,13966,-18.554082517655804,-1.10576199789379,-8.536245999721723,-4.855984947170351,-2.484794540869307,677.9,665.75,674.1,BEARISH
HCL Technologies Ltd.,HCLTECH,Information Technology,7229,-9.802034643937304,-4.288840262582053,-2.576286287029478,-0.7413010590015094,-0.296330066104389,1334.2,1290.0,1316.1,BEARISH
HDB Financial Services Ltd.,HDBFS,Financial Services,757772,-12.316885119506555,-2.5423123616367858,-0.5827930356232243,-0.9507911162723115,0.44159858688452197,687.0,678.0,679.35,BEARISH
HDFC Asset Management Company Ltd.,HDFCAMC,Financial Services,4244,-4.005125388980417,-1.0453619141067354,0.24084410123097053,0.1566080977845649,2.066952121448031,2589.2,2539.0,2569.0,MIXED
HDFC Bank Ltd.,HDFCBANK,Financial Services,1333,-25.493905002101723,-19.376847850807366,-5.232907839337028,-2.7434842249657065,-1.5687907816187636,720.3,707.0,720.3,BEARISH
HDFC Life Insurance Company Ltd.,HDFCLIFE,Financial Services,467,-29.62243378019558,-23.179697440972706,-0.9389243391066504,-1.7361425083642321,-0.8485401459853973,550.95,543.8,548.0,BEARISH
HFCL Ltd.,HFCL,Telecommunication,21951,254.67748825288336,269.02222222222224,28.449876237623773,4.4752956966697495,-0.9464349624209629,255.1,245.55,251.47,BULLISH
Havells India Ltd.,HAVELLS,Consumer Durables,9819,-18.451756685894075,-8.116691285081247,-1.3167288014595173,-1.9235317303902317,1.7335841033608486,1247.0,1190.1,1222.9,BEARISH
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components,1348,7.12109597657095,-2.530626844317267,1.188265874489417,-4.133685136323659,-2.6785714285714284,5654.0,5529.0,5600.0,MIXED
Hexaware Technologies Ltd.,HEXT,Information Technology,29666,-26.78983833718245,18.891984569224167,-1.2285231015757105,-1.3777777777777778,-0.17095555155660344,565.85,552.2,555.7,MIXED
Himadri Speciality Chemical Ltd.,HSCL,Chemicals,14334,47.835837631756014,44.10318067548367,-12.182774928395382,-0.45303533675626695,-2.043242440002972,683.8,667.65,672.95,MIXED
Hindalco Industries Ltd.,HINDALCO,Metals & Mining,1363,44.2503018680304,8.026595744680856,4.207501667607368,-4.067076051015584,-2.115866589550804,1037.4,1025.95,1037.4,MIXED
Hindustan Aeronautics Ltd.,HAL,Capital Goods,2303,10.824908830725198,21.510274319263097,3.337996341332193,-2.1280065226253493,-1.2240027977206804,4890.0,4816.0,4861.1,MIXED
Hindustan Copper Ltd.,HINDCOPPER,Metals & Mining,17939,128.5123966942149,-8.793402777777775,6.865337672904801,-8.499521031089428,-1.5368756442695028,543.0,530.0,533.55,MIXED
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Oil Gas & Consumable Fuels,1406,-2.7001862197392863,-13.839811542991756,-6.157793457344452,-1.6668907111170825,0.4807692307692308,370.9,363.85,364.0,BEARISH
Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,1394,-24.804213471336233,-15.220201671981377,-6.372245752629328,-3.0837438423645276,-2.1388778352566655,2018.0,1997.5,2010.4,BEARISH
Hindustan Zinc Ltd.,HINDZINC,Metals & Mining,1424,42.02742993440669,-3.5942685987209475,10.432121661721068,-1.4155629139072772,-4.2684887459807,624.35,607.8,622.0,MIXED
Hitachi Energy India Ltd.,POWERINDIA,Capital Goods,18457,76.66143380429095,32.3921568627451,4.926184926184926,-0.2364066193853428,1.2901290129012901,33840.0,33235.0,33330.0,MIXED
Home First Finance Company India Ltd.,HOMEFIRST,Financial Services,2056,-4.423108485146879,6.1907366885485136,-2.043734230445749,-2.363986922625538,-2.803972294083277,1205.0,1188.3,1198.3,MIXED
Honasa Consumer Ltd.,HONASA,Fast Moving Consumer Goods,19813,64.15770609318996,64.26985482493595,6.973640306973633,-2.017114914425435,2.1778391586104324,483.8,467.2,470.65,MIXED
Honeywell Automation India Ltd.,HONAUT,Capital Goods,3417,-8.286009292720701,17.183377308707122,-6.879832263137203,-3.0294759825327513,-3.0162412993039442,36970.0,36515.0,36635.0,MIXED
Housing & Urban Development Corporation Ltd.,HUDCO,Financial Services,20825,-10.97364174287251,0.17057334653901302,-6.688877498718597,-2.922199114808292,-0.6439993450854,184.27,181.6,183.23,MIXED
Hyundai Motor India Ltd.,HYUNDAI,Automobile and Auto Components,25844,-10.380425947000491,2.653631284916201,1.114321089558407,-0.09062075215224287,-2.734891927657697,2279.0,2240.3,2267.0,MIXED
ICICI Bank Ltd.,ICICIBANK,Financial Services,4963,4.02060380598083,5.822416302765648,1.29580604709488,2.756183745583039,2.192859150969922,1439.8,1418.9,1422.8,BULLISH
